,z1,z2,y,y_
593,-2.4588187,12.364042,na,1
594,-2.4457576,12.484688,na,1
595,-2.435798,12.578288,na,1
596,-2.4770415,12.524454,na,1
597,-2.3871922,12.610674,na,1
598,-2.3426135,12.520369,na,1
599,-2.3314216,12.451502,na,1
600,-2.3617246,12.356437,na,1
601,-2.3405519,12.369934,na,1
602,-2.351658,12.261346,na,1
603,-2.310652,12.3179455,na,1
604,-2.2921693,12.400529,walking,1
605,-2.0926213,12.43952,walking,1
606,-1.5883014,12.809748,walking,1
607,-1.2674389,12.993246,walking,1
608,-1.0130599,13.104103,walking,1
609,-1.019095,13.182106,walking,1
610,-0.9172274,13.319035,na,1
611,-0.84620285,13.351153,na,1
612,-0.82631207,13.487703,na,1
613,-0.70634025,13.980154,na,1
614,-0.6895342,14.255903,na,1
615,-0.66040784,14.395365,na,1
616,-0.63696533,14.408918,na,1
617,-0.6360045,14.421138,na,1
618,-0.5490882,14.447899,na,1
619,-0.49968922,14.402194,na,1
620,-0.4575216,14.313102,na,1
621,-0.3884631,14.215473,na,1
622,-0.37892017,14.01716,na,1
623,-0.3028328,13.49082,na,1
624,-0.44636312,13.089972,walking,1
625,-1.1238434,12.433569,walking,1
626,-1.198958,12.374013,walking,1
627,-1.2475529,12.301409,walking,1
628,-1.3567089,12.2399025,walking,1
629,-1.5392313,12.22574,walking,1
630,-1.9842374,12.184935,walking,1
631,-2.2720003,12.15616,walking,1
632,-2.5279007,12.105481,walking,1
633,-3.1762252,11.945821,na,1
634,-3.288307,11.911095,na,1
635,-3.2843041,11.956999,na,1
636,-3.3118033,11.9279995,na,1
637,-3.2980053,11.929234,na,1
638,-3.3039916,11.88078,na,1
639,-3.2799492,11.82595,na,1
640,-3.1371152,11.804159,na,1
641,-3.1289015,11.76384,na,1
642,-2.9269905,11.771686,walking,1
643,-2.4948359,11.74206,walking,1
644,-2.1565306,11.779256,walking,1
645,-1.553987,12.074142,walking,1
646,-1.2068877,12.393252,walking,1
647,-1.0147891,12.62372,walking,1
648,-0.90432715,12.760066,walking,1
649,-0.77798325,12.865759,walking,1
650,-0.75487906,12.876552,walking,1
651,-0.73918957,12.939364,walking,1
652,-0.61637014,12.987323,walking,1
653,-0.55061746,13.054626,walking,1
654,-0.48527575,13.042417,walking,1
655,-0.34635928,13.083638,walking,1
656,0.05267717,13.064477,walking,1
657,0.26673132,13.186732,walking,1
658,0.368387,13.23821,walking,1
659,0.43589374,13.407293,walking,1
660,0.306254,13.630088,walking,1
661,0.3227662,13.6595125,walking,1
662,0.28614002,13.696538,walking,1
663,0.3547837,13.6489105,walking,1
664,0.41249532,13.611772,walking,1
665,0.36980182,13.395758,walking,1
666,0.26899087,12.703682,walking,1
667,0.041986533,12.061635,walking,1
668,-0.07112302,11.719425,walking,1
669,-0.12645762,11.552855,walking,1
670,-0.19885685,11.470517,walking,1
671,-0.26007995,11.418151,walking,1
672,-0.2883716,11.406501,walking,1
673,-0.26334223,11.342126,walking,1
674,-0.29937857,11.297248,walking,1
675,-0.26613504,11.259847,walking,1
676,-0.276858,11.213147,walking,1
677,0.04714566,11.204983,walking,1
678,0.3840443,11.294207,walking,1
679,0.92891186,11.364482,walking,1
680,1.3743448,11.545861,walking,1
681,1.2222015,11.419116,walking,1
682,1.2748435,11.523726,walking,1
683,1.3182392,11.47089,walking,1
684,1.3003784,11.498004,walking,1
685,1.274732,11.419094,walking,1
686,1.1826153,11.48322,na,1
687,1.2089454,11.44054,na,1
688,1.2078547,11.46012,na,1
689,1.1140537,11.445603,na,1
690,1.018505,11.482099,na,1
691,0.9869106,11.571732,rearing,1
692,0.9302176,11.575083,rearing,1
693,0.8316335,11.718873,rearing,1
694,0.64010423,11.919514,rearing,1
695,0.5457019,12.212939,rearing,1
696,0.37733266,12.472829,na,1
697,0.24559648,12.632129,na,1
698,0.22128822,12.666906,na,1
699,0.23304194,12.635823,na,1
700,0.20758368,12.636703,na,1
701,0.21324095,12.625704,na,1
702,0.19120042,12.642217,na,1
703,0.16010237,12.591913,na,1
704,-2.1789343,8.502054,na,0
705,-2.2365212,8.2990055,na,0
706,-2.4381444,8.214408,na,0
707,-2.408965,8.124046,rearing,0
708,-2.4563339,7.840084,rearing,0
709,-2.273767,7.5577297,rearing,0
710,-2.123901,7.3851895,rearing,0
711,-2.064691,6.995087,rearing,0
712,-1.7225288,6.498767,rearing,0
713,-1.5550376,6.370805,rearing,0
714,-1.4204826,6.287112,rearing,0
715,-0.5714899,6.118973,rearing,0
716,-0.044264488,6.137908,rearing,0
717,0.11548372,6.193409,rearing,0
718,0.13444966,6.143515,rearing,0
719,0.21011432,6.1986856,rearing,0
720,0.16420037,6.1756663,rearing,0
721,0.21417338,6.138572,rearing,0
722,0.20605141,6.1099443,rearing,0
723,0.25497013,6.1549487,rearing,0
724,0.27785927,6.1466064,rearing,0
725,0.25619718,6.118194,rearing,0
726,0.3551257,6.251177,rearing,0
727,0.36383107,6.2646317,rearing,0
728,0.37419003,6.311787,rearing,0
729,0.33972514,6.346626,rearing,0
730,0.25814506,6.313344,rearing,0
731,0.13778685,6.3644643,rearing,0
732,0.042145424,6.2400784,rearing,0
733,-0.16740616,6.123414,rearing,0
734,-0.2970829,6.110317,rearing,0
735,-0.4578507,6.084748,rearing,0
736,-0.48793918,6.106071,rearing,0
737,-0.70065993,6.0982766,rearing,0
738,-1.4981343,6.085773,rearing,0
739,-1.7805203,6.0919323,rearing,0
740,-1.9590374,6.1204395,rearing,0
741,-1.9537157,6.17699,rearing,0
742,-2.0213,6.2217345,rearing,0
743,-2.1264427,6.258158,rearing,0
744,-2.0288055,6.240801,rearing,0
745,-2.1399467,6.2168508,rearing,0
746,-2.1264873,6.2232094,rearing,0
747,-2.129458,6.2797294,rearing,0
748,-2.1807106,6.322696,rearing,0
749,-2.5832503,6.6546044,rearing,0
750,-3.0729797,7.363572,rearing,0
751,-3.341224,7.6036606,rearing,0
752,-3.4945464,7.6566734,rearing,0
753,-3.4665897,7.679903,rearing,0
754,-3.4159927,7.7112966,rearing,0
755,-3.4273298,7.7296705,rearing,0
756,-3.2523253,7.9863405,rearing,0
757,-3.101456,8.258163,rearing,0
758,-2.9338515,9.324288,rearing,0
759,-3.1386547,10.6971035,rearing,1
760,-3.114812,11.028545,rearing,1
761,-3.1340709,11.07715,rearing,1
762,-3.2456002,11.129657,rearing,1
763,-3.2105258,11.108399,rearing,1
764,-3.297394,11.170251,rearing,1
